,locality,category_main_cb,furnished,object_type,parking_lots,price_summary_unit_cb,locality_street_id,terrace,balcony,locality_district_id,locality_ward_id,loggia,category_sub_cb,building_type,elevator,locality_gps_lat,basin,locality_region_id,category_type_cb,hash_id,cellar,object_kind,locality_gps_lon,usable_area,locality_quarter_id,ownership,locality_municipality_id,low_energy,easy_access,building_condition,locality_country_id,garage,room_count_cb,energy_efficiency_rating_cb,price_summary_czk,garden_area,estate_area
0,"Maiselova, Praha 1 - Josefov",1.0,2.0,0.0,0.0,2.0,120458.0,0.0,1.0,5001.0,8722.0,0.0,4.0,2.0,1.0,50.0887985,0.0,10.0,2.0,3052151884.0,0.0,0.0,14.4182692,80.0,87.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,35000.0,,
1,"Opatovická, Praha 1 - Nové Město",1.0,3.0,0.0,0.0,2.0,121234.0,1.0,1.0,5001.0,14959.0,1.0,7.0,2.0,1.0,50.079277662432,0.0,10.0,2.0,1972176204.0,0.0,0.0,14.4162845387032,117.0,87.0,1.0,3468.0,0.0,0.0,9.0,112.0,0.0,0.0,3.0,49500.0,,
2,"Grafická, Praha 5 - Smíchov",1.0,1.0,0.0,1.0,2.0,119641.0,1.0,0.0,5005.0,13687.0,0.0,4.0,2.0,1.0,50.0730177110126,1.0,10.0,2.0,3051844940.0,1.0,0.0,14.3972641622552,98.0,97.0,1.0,3468.0,1.0,1.0,6.0,112.0,1.0,0.0,1.0,32500.0,,
3,"Holečkova, Praha 5 - Košíře",1.0,1.0,0.0,0.0,2.0,119726.0,0.0,0.0,5005.0,13688.0,0.0,4.0,2.0,2.0,50.0739593477025,0.0,10.0,2.0,2882262348.0,0.0,0.0,14.3945719215067,50.0,97.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,1.0,7.0,33000.0,,
4,"Na zátorách, Praha 7 - Holešovice",1.0,1.0,0.0,0.0,2.0,120960.0,0.0,1.0,5007.0,14951.0,0.0,47.0,7.0,1.0,50.1080921844521,0.0,10.0,2.0,1899284572.0,0.0,0.0,14.4372164034094,16.0,113.0,1.0,3468.0,0.0,1.0,1.0,112.0,0.0,0.0,0.0,10158.0,,
5,"Na zátorách, Praha 7 - Holešovice",1.0,1.0,0.0,0.0,2.0,120960.0,0.0,0.0,5007.0,14951.0,0.0,2.0,7.0,1.0,50.1080921844521,0.0,10.0,2.0,2159340636.0,0.0,0.0,14.4372164034094,15.0,113.0,1.0,3468.0,0.0,1.0,6.0,112.0,0.0,0.0,0.0,15573.0,,
6,"Na zátorách, Praha 7 - Holešovice",1.0,1.0,0.0,0.0,2.0,120960.0,0.0,0.0,5007.0,14951.0,0.0,2.0,7.0,1.0,50.1080921844521,0.0,10.0,2.0,1300556892.0,0.0,0.0,14.4372164034094,15.0,113.0,1.0,3468.0,0.0,1.0,1.0,112.0,0.0,0.0,0.0,15388.0,,
7,"Na zátorách, Praha 7 - Holešovice",1.0,1.0,0.0,0.0,2.0,120960.0,0.0,0.0,5007.0,14951.0,0.0,47.0,7.0,1.0,50.1080921844521,0.0,10.0,2.0,1494280540.0,0.0,0.0,14.4372164034094,16.0,113.0,1.0,3468.0,0.0,1.0,1.0,112.0,0.0,0.0,0.0,9358.0,,
8,"Olšanské náměstí, Praha - Žižkov",1.0,1.0,0.0,0.0,2.0,121228.0,0.0,0.0,5003.0,14971.0,0.0,3.0,2.0,1.0,50.0821514224534,0.0,10.0,2.0,2617775436.0,0.0,0.0,14.4591543904628,34.0,89.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,0.0,17000.0,,
9,"Varšavská, Praha 2 - Vinohrady",1.0,0.0,0.0,0.0,2.0,122643.0,0.0,1.0,5002.0,14967.0,0.0,4.0,2.0,1.0,50.0721963,0.0,10.0,2.0,1380922700.0,0.0,0.0,14.4398185,55.0,88.0,1.0,3468.0,0.0,0.0,6.0,112.0,1.0,0.0,7.0,32700.0,,
10,"Soukalova, Praha 4 - Modřany",1.0,2.0,0.0,1.0,2.0,124981.0,1.0,0.0,5004.0,13681.0,0.0,6.0,7.0,1.0,50.0046168210481,0.0,10.0,2.0,3459609932.0,0.0,0.0,14.4151085608958,75.0,92.0,2.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,0.0,24000.0,,
11,"Na Bučance, Praha 4 - Nusle",1.0,2.0,0.0,1.0,2.0,120630.0,1.0,0.0,5004.0,14960.0,0.0,6.0,7.0,1.0,50.0623588251475,0.0,10.0,2.0,1310135628.0,0.0,0.0,14.4263489600851,104.0,90.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,49000.0,,
12,"Krakovská, Praha 1 - Nové Město",1.0,2.0,0.0,1.0,2.0,120248.0,1.0,0.0,5001.0,14959.0,0.0,8.0,2.0,1.0,50.0776596069336,0.0,10.0,2.0,4064093516.0,0.0,0.0,14.4269599914551,214.0,87.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,3.0,68000.0,,
13,"Povltavská, Praha 7 - Troja",1.0,2.0,0.0,0.0,2.0,122682.0,0.0,1.0,5007.0,14965.0,0.0,6.0,2.0,2.0,50.1115473964404,0.0,10.0,2.0,82367820.0,1.0,0.0,14.4641323401987,110.0,114.0,1.0,3468.0,0.0,2.0,1.0,112.0,1.0,0.0,2.0,45000.0,,
14,"Korunní, Praha 10 - Vinohrady",1.0,1.0,0.0,0.0,2.0,121321.0,0.0,1.0,5010.0,14967.0,0.0,6.0,2.0,1.0,50.0753195209819,0.0,10.0,2.0,4061844812.0,1.0,0.0,14.4566245756549,95.0,132.0,1.0,3468.0,0.0,2.0,2.0,112.0,1.0,0.0,3.0,36500.0,,
15,"Baranova, Praha 3 - Žižkov",1.0,1.0,0.0,0.0,2.0,119252.0,1.0,0.0,5003.0,14971.0,0.0,4.0,7.0,1.0,50.0797615240437,0.0,10.0,2.0,4086695244.0,0.0,0.0,14.4576202533386,97.0,89.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,26500.0,,
16,"Nad Ryšánkou, Praha 4 - Krč",1.0,1.0,0.0,0.0,2.0,143083.0,1.0,0.0,5004.0,13676.0,0.0,6.0,7.0,1.0,50.0385485307397,0.0,10.0,2.0,1866691916.0,1.0,0.0,14.4280671978134,91.0,90.0,1.0,3468.0,0.0,0.0,1.0,112.0,1.0,0.0,2.0,45000.0,,
